,season,team,pt,dg
0,2001-2002,Charlton Athletic,44,-11
1,2001-2002,Southampton,45,-8
2,2001-2002,Manchester United,77,42
3,2001-2002,Liverpool,80,37
4,2001-2002,Ipswich Town,36,-23
5,2001-2002,Tottenham Hotspur,50,-4
6,2001-2002,Derby County,30,-29
7,2001-2002,Leeds United,66,16
8,2001-2002,West Ham United,53,-9
9,2001-2002,Aston Villa,50,-1
10,2001-2002,Arsenal,87,43
11,2001-2002,Bolton Wanderers,40,-18
12,2001-2002,Sunderland,40,-22
13,2001-2002,Newcastle United,71,22
14,2001-2002,Blackburn Rovers,46,3
15,2001-2002,Everton,43,-12
16,2001-2002,Middlesboro,45,-12
17,2001-2002,Fulham,44,-8
18,2001-2002,Chelsea,64,28
19,2001-2002,Leicester City,28,-34
20,2002-2003,Charlton Athletic,49,-11
21,2002-2003,Southampton,52,-3
22,2002-2003,Manchester United,83,40
23,2002-2003,Newcastle United,69,15
24,2002-2003,Tottenham Hotspur,50,-11
25,2002-2003,Aston Villa,45,-5
26,2002-2003,Leeds United,47,1
27,2002-2003,West Ham United,42,-17
28,2002-2003,Manchester City,51,-7
29,2002-2003,Arsenal,78,43
30,2002-2003,Bolton Wanderers,44,-10
31,2002-2003,West Bromwich Albion,26,-36
32,2002-2003,Sunderland,19,-44
33,2002-2003,Fulham,48,-9
34,2002-2003,Birmingham,48,-8
35,2002-2003,Blackburn Rovers,60,9
36,2002-2003,Liverpool,64,20
37,2002-2003,Everton,59,-1
38,2002-2003,Middlesboro,49,4
39,2002-2003,Chelsea,67,30
40,2003-2004,Charlton Athletic,53,0
41,2003-2004,Southampton,47,-1
42,2003-2004,Manchester United,75,29
43,2003-2004,Portsmouth,45,-7
44,2003-2004,Fulham,52,6
45,2003-2004,Wolverhampton,33,-39
46,2003-2004,Tottenham Hotspur,45,-10
47,2003-2004,Aston Villa,56,4
48,2003-2004,Leeds United,33,-39
49,2003-2004,Manchester City,41,1
50,2003-2004,Arsenal,90,47
51,2003-2004,Newcastle United,56,12
52,2003-2004,Bolton Wanderers,53,-8
53,2003-2004,Liverpool,60,18
54,2003-2004,Birmingham,50,-5
55,2003-2004,Blackburn Rovers,44,-8
56,2003-2004,Everton,39,-12
57,2003-2004,Middlesboro,48,-8
58,2003-2004,Chelsea,79,37
59,2003-2004,Leicester City,33,-17
60,2004-2005,Charlton Athletic,46,-16
61,2004-2005,Southampton,32,-21
62,2004-2005,Manchester United,77,32
63,2004-2005,Liverpool,58,11
64,2004-2005,Portsmouth,39,-16
65,2004-2005,Tottenham Hotspur,52,6
66,2004-2005,Norwich City,33,-35
67,2004-2005,Crystal Palace,33,-21
68,2004-2005,Manchester City,52,8
69,2004-2005,Arsenal,83,51
70,2004-2005,Newcastle United,44,-10
71,2004-2005,Bolton Wanderers,58,5
72,2004-2005,Aston Villa,47,-7
73,2004-2005,West Bromwich Albion,34,-25
74,2004-2005,Fulham,44,-8
75,2004-2005,Birmingham,45,-6
76,2004-2005,Blackburn Rovers,42,-11
77,2004-2005,Everton,61,-1
78,2004-2005,Middlesboro,55,7
79,2004-2005,Chelsea,95,57
80,2005-2006,Charlton Athletic,47,-14
81,2005-2006,Liverpool,82,32
82,2005-2006,Manchester United,83,38
83,2005-2006,Portsmouth,38,-25
84,2005-2006,Tottenham Hotspur,65,15
85,2005-2006,Manchester City,43,-5
86,2005-2006,West Ham United,55,-3
87,2005-2006,Aston Villa,42,-13
88,2005-2006,Arsenal,67,37
89,2005-2006,Newcastle United,58,5
90,2005-2006,Bolton Wanderers,56,8
91,2005-2006,Wigan Athletic,51,-7
92,2005-2006,West Bromwich Albion,30,-27
93,2005-2006,Sunderland,15,-43
94,2005-2006,Fulham,48,-10
95,2005-2006,Birmingham,34,-22
96,2005-2006,Blackburn Rovers,63,9
97,2005-2006,Everton,50,-15
98,2005-2006,Middlesboro,45,-10
99,2005-2006,Chelsea,91,50
100,2006-2007,Charlton Athletic,34,-26
101,2006-2007,Manchester United,89,56
102,2006-2007,Liverpool,68,30
103,2006-2007,Fulham,39,-22
104,2006-2007,Tottenham Hotspur,60,3
105,2006-2007,Aston Villa,50,2
106,2006-2007,West Ham United,41,-24
107,2006-2007,Manchester City,42,-15
108,2006-2007,Arsenal,68,28
109,2006-2007,Newcastle United,43,-9
110,2006-2007,Bolton Wanderers,56,-5
111,2006-2007,Wigan Athletic,38,-22
112,2006-2007,Portsmouth,54,3
113,2006-2007,Watford,28,-30
114,2006-2007,Blackburn Rovers,52,-2
115,2006-2007,Everton,58,16
116,2006-2007,Middlesboro,46,-5
117,2006-2007,Reading,55,5
118,2006-2007,Chelsea,83,40
119,2006-2007,Sheffield United,38,-23
120,2007-2008,Liverpool,76,39
121,2007-2008,Manchester United,87,58
122,2007-2008,Portsmouth,57,8
123,2007-2008,Fulham,36,-22
124,2007-2008,Manchester City,55,-8
125,2007-2008,Tottenham Hotspur,46,5
126,2007-2008,Chelsea,85,39
127,2007-2008,West Ham United,49,-8
128,2007-2008,Aston Villa,60,20
129,2007-2008,Arsenal,83,43
130,2007-2008,Bolton Wanderers,37,-18
131,2007-2008,Wigan Athletic,40,-17
132,2007-2008,Sunderland,39,-23
133,2007-2008,Newcastle United,43,-20
134,2007-2008,Birmingham,35,-16
135,2007-2008,Blackburn Rovers,58,2
136,2007-2008,Everton,65,22
137,2007-2008,Middlesboro,42,-10
138,2007-2008,Reading,36,-25
139,2007-2008,Derby County,11,-69
140,2008-2009,Manchester United,90,44
141,2008-2009,Liverpool,86,50
142,2008-2009,Portsmouth,41,-19
143,2008-2009,Stoke City,45,-17
144,2008-2009,Aston Villa,62,6
145,2008-2009,West Ham United,51,-3
146,2008-2009,Manchester City,50,8
147,2008-2009,Arsenal,72,31
148,2008-2009,Newcastle United,34,-19
149,2008-2009,Hull City,35,-25
150,2008-2009,Wigan Athletic,45,-11
151,2008-2009,West Bromwich Albion,32,-31
152,2008-2009,Sunderland,36,-20
153,2008-2009,Fulham,53,5
154,2008-2009,Blackburn Rovers,41,-20
155,2008-2009,Tottenham Hotspur,51,0
156,2008-2009,Everton,63,18
157,2008-2009,Middlesboro,32,-29
158,2008-2009,Bolton Wanderers,41,-12
159,2008-2009,Chelsea,83,44
160,2009-2010,Liverpool,63,26
161,2009-2010,Manchester United,85,58
162,2009-2010,Wolverhampton,38,-24
163,2009-2010,Manchester City,67,28
164,2009-2010,Tottenham Hotspur,70,26
165,2009-2010,Aston Villa,64,13
166,2009-2010,West Ham United,35,-19
167,2009-2010,Burnley,30,-40
168,2009-2010,Arsenal,75,42
169,2009-2010,Bolton Wanderers,39,-25
170,2009-2010,Wigan Athletic,36,-42
171,2009-2010,Sunderland,44,-8
172,2009-2010,Fulham,46,-7
173,2009-2010,Birmingham,50,-9
174,2009-2010,Blackburn Rovers,50,-14
175,2009-2010,Stoke City,47,-14
176,2009-2010,Everton,61,11
177,2009-2010,Portsmouth,28,-32
178,2009-2010,Hull City,30,-41
179,2009-2010,Chelsea,86,71
180,2010-2011,Liverpool,58,15
181,2010-2011,Manchester United,80,41
182,2010-2011,Newcastle United,46,-1
183,2010-2011,West Bromwich Albion,47,-15
184,2010-2011,Tottenham Hotspur,62,9
185,2010-2011,Manchester City,71,27
186,2010-2011,Stoke City,46,-2
187,2010-2011,Aston Villa,48,-11
188,2010-2011,Fulham,49,6
189,2010-2011,West Ham United,33,-27
190,2010-2011,Wigan Athletic,42,-21
191,2010-2011,Blackpool,39,-23
192,2010-2011,Sunderland,47,-11
193,2010-2011,Wolverhampton,40,-20
194,2010-2011,Birmingham,39,-21
195,2010-2011,Blackburn Rovers,43,-13
196,2010-2011,Arsenal,68,29
197,2010-2011,Everton,54,6
198,2010-2011,Bolton Wanderers,46,-4
199,2010-2011,Chelsea,71,36
200,2011-2012,Queens Park Rangers,37,-23
201,2011-2012,Manchester United,89,56
202,2011-2012,Liverpool,52,7
203,2011-2012,Fulham,52,-3
204,2011-2012,Tottenham Hotspur,69,25
205,2011-2012,Norwich City,47,-14
206,2011-2012,Stoke City,45,-17
207,2011-2012,Manchester City,89,64
208,2011-2012,Swansea City,47,-7
209,2011-2012,Newcastle United,65,5
210,2011-2012,Bolton Wanderers,36,-31
211,2011-2012,Wigan Athletic,43,-20
212,2011-2012,West Bromwich Albion,47,-7
213,2011-2012,Sunderland,45,-1
214,2011-2012,Wolverhampton,25,-42
215,2011-2012,Aston Villa,38,-16
216,2011-2012,Blackburn Rovers,31,-30
217,2011-2012,Arsenal,70,25
218,2011-2012,Everton,56,10
219,2011-2012,Chelsea,64,19
220,2012-2013,Queens Park Rangers,25,-30
221,2012-2013,Southampton,41,-11
222,2012-2013,Manchester United,89,43
223,2012-2013,Newcastle United,41,-23
224,2012-2013,Fulham,43,-10
225,2012-2013,Stoke City,42,-11
226,2012-2013,Tottenham Hotspur,72,20
227,2012-2013,Norwich City,44,-17
228,2012-2013,West Ham United,46,-8
229,2012-2013,Manchester City,78,32
230,2012-2013,Swansea City,46,-4
231,2012-2013,Arsenal,73,35
232,2012-2013,Wigan Athletic,36,-26
233,2012-2013,West Bromwich Albion,49,-4
234,2012-2013,Sunderland,39,-13
235,2012-2013,Liverpool,61,28
236,2012-2013,Aston Villa,41,-22
237,2012-2013,Everton,63,15
238,2012-2013,Reading,28,-30
239,2012-2013,Chelsea,75,36
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,,,,
318,,,,
319,,,,
320,,,,
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,,,,
368,,,,
369,,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,,,,
388,,,,
389,,,,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,,
442,,,,
443,,,,
