,home_team,home_score,home_scorers,away_team,away_score,away_scorers
0,Blackburn Rovers,3,"['Cole', 'Duff', 'Cole']",Fulham,0,[]
1,Leicester City,2,"['Dickov', 'Piper']",Tottenham Hotspur,1,['Sheringham']
2,Liverpool,5,"['Riise', 'Riise', 'Anelka', 'Smicer', 'Anelka']",Ipswich Town,0,[]
3,West Ham United,2,"['Lomas', 'Pearce']",Bolton Wanderers,1,['Djorkaeff']
4,Sunderland,1,['Phillips'],Derby County,1,['Robinson']
5,Chelsea,1,['Gudjohnsen'],Aston Villa,3,"['Crouch', 'Vassell', 'Dublin']"
6,Manchester United,0,[],Charlton Athletic,0,[]
7,Southampton,3,"['Svensson', 'Beattie', 'Telfer']",Newcastle United,1,['Shearer']
8,Leeds United,1,['Smith'],Middlesboro,0,[]
9,Arsenal,4,"['Bergkamp', 'Henry', 'Henry', 'Jeffers']",Everton,3,"['Carsley', 'Radzinski', 'Watson']"
10,Manchester United,0,[],Arsenal,1,['Wiltord']
11,Liverpool,4,"['Murphy', 'Anelka', 'Hyypia', 'Heskey']",Blackburn Rovers,3,"['Duff', 'Cole', 'Jansen']"
12,Bolton Wanderers,0,[],Arsenal,2,"['Ljungberg', 'Wiltord']"
13,Everton,1,['Chadwick'],Blackburn Rovers,2,"['Jansen', 'Cole']"
14,Ipswich Town,0,[],Manchester United,1,['Nistelrooy']
15,Charlton Athletic,2,"['Euell', 'Lisbie']",Sunderland,2,"['Kilbane', 'Phillips']"
16,Middlesboro,0,[],Chelsea,2,"['Cole', 'Zenden']"
17,Newcastle United,3,"['Shearer', 'Lua-Lua', 'Robert']",West Ham United,1,['Defoe']
18,Aston Villa,2,"['Vassell', 'Vassell']",Southampton,1,['Beattie']
19,Derby County,0,[],Leeds United,1,['Bowyer']
20,Fulham,0,[],Leicester City,0,[]
21,Tottenham Hotspur,1,['Poyet'],Liverpool,0,[]
22,Arsenal,2,"['Ljungberg', 'Kanu']",West Ham United,0,[]
23,Ipswich Town,1,['Bent'],Middlesboro,0,[]
24,Blackburn Rovers,2,"['Gillespie', 'Cole']",Newcastle United,2,"['Shearer', 'Shearer']"
25,Fulham,3,"['Goldbaek', 'Marlet', 'Hayles']",Bolton Wanderers,0,[]
26,Arsenal,2,"['Ljungberg', 'Ljungberg']",Ipswich Town,0,[]
27,Southampton,0,[],Everton,1,['Watson']
28,Middlesboro,1,['Nemeth'],Blackburn Rovers,3,"['Yordi', 'Cole', 'Dunn']"
29,Bolton Wanderers,1,['Holdsworth'],Tottenham Hotspur,1,['Iversen']
30,Leicester City,2,"['Izzet', 'Stevenson']",Aston Villa,2,"['Vassell', 'Hitzlsperger']"
31,West Ham United,3,"['Sinclair', 'Lomas', 'Defoe']",Sunderland,0,[]
32,Leeds United,0,[],Fulham,1,['Malbranque']
33,Liverpool,2,"['Owen', 'Owen']",Derby County,0,[]
34,Newcastle United,3,"['Speed', 'Lua-Lua', 'Shearer']",Charlton Athletic,0,[]
35,Chelsea,0,[],Manchester United,3,"['Scholes', 'Nistelrooy', 'Solskjaer']"
36,Sunderland,0,[],Liverpool,1,['Owen']
37,Charlton Athletic,1,['Rufus'],Southampton,1,['Khalej']
38,Tottenham Hotspur,1,['Sheringham'],West Ham United,1,['Pearce']
39,Derby County,2,"['Christie', 'Morris']",Newcastle United,3,"['Robert', 'Dyer', 'Lua-Lua']"
40,Aston Villa,0,[],Leeds United,1,['Viduka']
41,Everton,2,"['Chadwick', 'Ferguson']",Leicester City,2,"['Deane', 'Deane']"
42,Blackburn Rovers,0,[],Chelsea,0,[]
43,Newcastle United,1,['Dyer'],Fulham,1,['Saha']
44,Middlesboro,2,"['Carbone', 'Ehiogu']",Aston Villa,1,['Angel']
45,Southampton,2,"['Oakley', 'Pahars']",Derby County,0,[]
46,Arsenal,2,"['Ljungberg', 'Lauren']",Tottenham Hotspur,1,['Sheringham']
47,Bolton Wanderers,4,"['Bobic', 'Bobic', 'Djorkaeff', 'Bobic']",Ipswich Town,1,['Clapham']
48,West Ham United,2,"['Canio', 'Kanoute']",Charlton Athletic,0,[]
49,Chelsea,3,"['Hasselbaink', 'Hasselbaink', 'Zola']",Everton,0,[]
50,Leicester City,0,[],Manchester United,1,['Solskjaer']
51,Aston Villa,1,['Crouch'],Newcastle United,1,['Shearer']
52,Blackburn Rovers,2,"['Duff', 'Yordi']",Southampton,0,[]
53,Sunderland,2,"['Reyna', 'Reyna']",Leicester City,1,['Dickov']
54,Tottenham Hotspur,2,"['Iversen', 'Sheringham']",Leeds United,1,['Viduka']
55,Everton,3,"['Pistone', 'Radzinski', 'Chadwick']",Bolton Wanderers,1,"[""N'Gotty""]"
56,Charlton Athletic,0,[],Arsenal,3,"['Henry', 'Ljungberg', 'Henry']"
57,Fulham,0,[],West Ham United,1,['Kanoute']
58,Derby County,0,[],Middlesboro,1,['Mustoe']
59,Ipswich Town,0,[],Chelsea,0,[]
60,Middlesboro,1,['Queudrue'],Tottenham Hotspur,1,['Iversen']
61,Southampton,1,['Delap'],Fulham,1,['Marlet']
62,Chelsea,2,"['Terry', 'Petit']",Derby County,1,['Strupar']
63,Leicester City,2,"['Dickov', 'Dickov']",Blackburn Rovers,1,['Hughes']
64,Liverpool,2,"['Smicer', 'Owen']",Charlton Athletic,0,[]
65,Arsenal,3,"['Vieira', 'Bergkamp', 'Wiltord']",Sunderland,0,[]
66,West Ham United,3,"['Lomas', 'Canio', 'Defoe']",Ipswich Town,1,['Bent']
67,Leeds United,3,"['Viduka', 'Harte', 'Bowyer']",Manchester United,4,"['Scholes', 'Solskjaer', 'Solskjaer', 'Giggs']"
68,Newcastle United,6,"['Shearer', 'Cort', ""O'Brien"", 'Solano', 'Solano', 'Bernard']",Everton,2,"['Ferguson', 'Alexandersson']"
69,Fulham,0,[],Tottenham Hotspur,2,"['Sheringham', 'Poyet']"
70,Liverpool,1,['Smicer'],Chelsea,0,[]
71,Derby County,3,"['Strupar', 'Morris', 'Strupar']",Everton,4,"['Unsworth', 'Stubbs', 'Alexandersson', 'Ferguson']"
72,Leicester City,0,[],Leeds United,2,"['Viduka', 'Fowler']"
73,Manchester United,0,[],Middlesboro,1,['Boksic']
74,Ipswich Town,0,[],Aston Villa,0,[]
75,Sunderland,1,['McAteer'],Southampton,1,['Tessem']
76,Charlton Athletic,1,['Johansson'],Bolton Wanderers,2,"['Djorkaeff', 'Djorkaeff']"
77,Tottenham Hotspur,0,[],Charlton Athletic,1,['Powell']
78,Aston Villa,1,['Dublin'],Arsenal,2,"['Edu', 'Pires']"
79,Leeds United,3,"['Fowler', 'Fowler', 'Kewell']",Blackburn Rovers,1,['Jansen']
80,West Ham United,3,"['Lomas', 'Kanoute', 'Defoe']",Manchester United,5,"['Beckham', 'Butt', 'Scholes', 'Solskjaer', 'Beckham']"
81,Everton,2,"['Unsworth', 'Ferguson']",Fulham,1,['Malbranque']
82,Bolton Wanderers,1,['Gardner'],Derby County,3,"['Christie', 'Ravanelli', 'Higginbotham']"
83,Chelsea,4,"['Gallas', 'Gudjohnsen', 'Forssell', 'Bona']",Sunderland,0,[]
84,Newcastle United,2,"['Robert', 'Shearer']",Ipswich Town,2,"['Bent', 'Bent']"
85,Southampton,2,"['Pahars', 'Pahars']",Leicester City,2,"['Deane', 'Deane']"
86,Middlesboro,1,['Southgate'],Liverpool,2,"['Heskey', 'Riise']"
87,Chelsea,4,"['Hasselbaink', 'Hasselbaink', 'Hasselbaink', 'Lampard']",Tottenham Hotspur,0,[]
88,Blackburn Rovers,2,"['Duff', 'Cole']",Ipswich Town,1,['Stewart']
89,Leicester City,1,['Scowcroft'],Charlton Athletic,1,['Euell']
90,Liverpool,3,"['Murphy', 'Murphy', 'Hamann']",Newcastle United,0,[]
91,Southampton,1,['Svensson'],Middlesboro,1,['Whelan']
92,Manchester United,4,"['Beckham', 'Nistelrooy', 'Beckham', 'Nistelrooy']",Tottenham Hotspur,0,[]
93,Chelsea,3,"['Melchiot', 'Gudjohnsen', 'Forssell']",Fulham,2,"['Saha', 'Saha']"
94,West Ham United,1,['Sinclair'],Everton,0,[]
95,Leeds United,2,"['Fowler', 'Harte']",Ipswich Town,0,[]
96,Blackburn Rovers,3,"['Dunn', 'Duff', 'Cole']",Aston Villa,0,[]
97,Sunderland,1,['McAteer'],Bolton Wanderers,0,[]
98,Arsenal,1,['Pires'],Derby County,0,[]
99,Derby County,2,"['Christie', 'Christie']",Manchester United,2,"['Scholes', 'Veron']"
100,Everton,0,[],Leeds United,0,[]
101,Newcastle United,0,[],Arsenal,2,"['Bergkamp', 'Campbell']"
102,Fulham,0,[],Liverpool,2,"['Anelka', 'Litmanen']"
103,Tottenham Hotspur,2,"['Poyet', 'Ferdinand']",Sunderland,1,['Mboma']
104,Aston Villa,2,"['Angel', 'Vassell']",West Ham United,1,['Canio']
105,Bolton Wanderers,1,['Wallace'],Blackburn Rovers,1,['Jansen']
106,Charlton Athletic,2,"['Euell', 'Euell']",Chelsea,1,['Lampard']
107,Ipswich Town,1,['George'],Southampton,3,"['Delap', 'Ormerod', 'Marsden']"
108,Leeds United,0,[],Charlton Athletic,0,[]
109,Sunderland,0,[],Newcastle United,1,['Dabizas']
110,Leicester City,0,[],Derby County,3,"['Kinkladze', 'Strupar', 'Morris']"
111,Liverpool,1,['Anelka'],Everton,1,['Radzinski']
112,Arsenal,4,"['Lauren', 'Vieira', 'Henry', 'Henry']",Fulham,1,['Marlet']
113,West Ham United,1,['Kanoute'],Middlesboro,0,[]
114,Southampton,0,[],Bolton Wanderers,0,[]
115,Manchester United,1,['Nistelrooy'],Aston Villa,0,[]
116,Middlesboro,2,"['Boksic', 'Nemeth']",Fulham,1,['Marlet']
117,Everton,0,[],Arsenal,1,['Wiltord']
118,Charlton Athletic,0,[],Manchester United,2,"['Solskjaer', 'Solskjaer']"
119,Middlesboro,2,"['Ince', 'Windass']",Leeds United,2,"['Bakke', 'Fowler']"
120,Derby County,0,[],Sunderland,1,['Quinn']
121,Bolton Wanderers,1,['Gardner'],West Ham United,0,[]
122,Fulham,2,"['Hayles', 'Malbranque']",Blackburn Rovers,0,[]
123,Tottenham Hotspur,2,"['Anderton', 'Davies']",Leicester City,1,['Oakes']
124,Aston Villa,1,['Merson'],Chelsea,1,['Lampard']
125,Ipswich Town,0,[],Liverpool,6,"['Xavier', 'Heskey', 'Hyypia', 'Owen', 'Owen', 'Heskey']"
126,Newcastle United,3,"['Robert', 'Shearer', 'Shearer']",Southampton,1,['Pahars']
127,Middlesboro,0,[],Charlton Athletic,0,[]
128,Fulham,0,[],Aston Villa,0,[]
129,Manchester United,4,"['Neville', 'Beckham', 'Nistelrooy', 'Nistelrooy']",Sunderland,1,['Phillips']
130,Derby County,1,['Morris'],Tottenham Hotspur,0,[]
131,Leicester City,2,"['Scowcroft', 'Scowcroft']",Chelsea,3,"['Hasselbaink', 'Zola', 'Hasselbaink']"
132,West Ham United,2,"['Sinclair', 'Kanoute']",Blackburn Rovers,0,[]
133,Arsenal,1,['Wiltord'],Southampton,1,['Tessem']
134,Newcastle United,3,"['Shearer', 'Shearer', 'Bellamy']",Bolton Wanderers,2,"['Gardner', 'Southall']"
135,Everton,1,['Unsworth'],Ipswich Town,2,"['Peralta', 'Holland']"
136,Ipswich Town,1,['Bent'],Fulham,0,[]
137,Aston Villa,0,[],Everton,0,[]
138,Blackburn Rovers,2,"['Jansen', 'Jansen']",Arsenal,3,"['Bergkamp', 'Henry', 'Bergkamp']"
139,Chelsea,2,"['Gudjohnsen', 'Bona']",Leeds United,0,[]
140,Southampton,2,"['Davies', 'Fernandes']",West Ham United,0,[]
141,Liverpool,1,['Heskey'],Leicester City,0,[]
142,Tottenham Hotspur,1,['Iversen'],Newcastle United,3,"['Acuna', 'Shearer', 'Bellamy']"
143,Bolton Wanderers,0,[],Manchester United,4,"['Solskjaer', 'Solskjaer', 'Solskjaer', 'Nistelrooy']"
144,Sunderland,0,[],Middlesboro,1,['Whelan']
145,Charlton Athletic,1,['Bart-Williams'],Derby County,0,[]
146,Leicester City,1,['Izzet'],Arsenal,3,"['Bronckhorst', 'Henry', 'Wiltord']"
147,Manchester United,0,[],Liverpool,1,['Murphy']
148,Charlton Athletic,1,['Stuart'],Aston Villa,2,"['Vassell', 'Angel']"
149,Leeds United,1,['Fowler'],Arsenal,1,['Pires']
150,Chelsea,5,"['Hasselbaink', 'Gudjohnsen', 'Hasselbaink', 'Gudjohnsen', 'Forssell']",West Ham United,1,['Defoe']
151,Leicester City,0,[],Newcastle United,0,[]
152,Derby County,1,['Christie'],Ipswich Town,3,"['Bent', 'Peralta', 'Reuser']"
